"intercept","min_phred","min_length","p_value_sd","aligner_salmon","trim_poly_g_X1","trim_poly_x_X1","norm_method_none","norm_method_RLE","norm_method_TMM","norm_method_TMMwsp","norm_method_upperquartile","min_phred_x_min_length","min_phred_x_aligner_salmon","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_phred_x_norm_method_none","min_phred_x_norm_method_RLE","min_phred_x_norm_method_TMM","min_phred_x_norm_method_TMMwsp","min_phred_x_norm_method_upperquartile","min_length_x_aligner_salmon","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","min_length_x_norm_method_none","min_length_x_norm_method_RLE","min_length_x_norm_method_TMM","min_length_x_norm_method_TMMwsp","min_length_x_norm_method_upperquartile","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_salmon_x_norm_method_none","aligner_salmon_x_norm_method_RLE","aligner_salmon_x_norm_method_TMM","aligner_salmon_x_norm_method_TMMwsp","aligner_salmon_x_norm_method_upperquartile","trim_poly_g_X1_x_trim_poly_x_X1","trim_poly_g_X1_x_norm_method_none","trim_poly_g_X1_x_norm_method_RLE","trim_poly_g_X1_x_norm_method_TMM","trim_poly_g_X1_x_norm_method_TMMwsp","trim_poly_g_X1_x_norm_method_upperquartile","trim_poly_x_X1_x_norm_method_none","trim_poly_x_X1_x_norm_method_RLE","trim_poly_x_X1_x_norm_method_TMM","trim_poly_x_X1_x_norm_method_TMMwsp","trim_poly_x_X1_x_norm_method_upperquartile"
1,24,39,0.553834248787095,1,0,0,0,1,0,0,0,936,24,0,0,0,24,0,0,0,39,0,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,49,0.553341937129808,0,1,1,0,0,1,0,0,1127,0,23,23,0,0,23,0,0,0,49,49,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,28,32,0.552682807866251,0,0,0,0,1,0,0,0,896,0,0,0,0,28,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,42,0.553438067303509,0,1,1,0,0,0,1,0,840,0,20,20,0,0,0,20,0,0,42,42,0,0,0,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,23,50,0.553388152653041,0,1,1,1,0,0,0,0,1150,0,23,23,23,0,0,0,0,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,21,36,0.552894298850544,0,0,0,0,0,1,0,0,756,0,0,0,0,0,21,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,34,0.373595984246076,0,0,1,0,0,0,0,0,918,0,0,27,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,38,0.552906460394323,0,0,1,0,0,0,0,1,950,0,0,25,0,0,0,0,25,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26,35,0.552520552856565,0,0,0,0,0,0,0,1,910,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,33,0.552829272732611,0,1,0,0,0,0,1,0,726,0,22,0,0,0,0,22,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,20,40,0.55385553031925,1,1,0,0,1,0,0,0,800,20,20,0,0,20,0,0,0,40,40,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,28,46,0.553983249779963,1,1,1,0,0,1,0,0,1288,28,28,28,0,0,28,0,0,46,46,46,0,0,46,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,28,30,0.554342147760088,1,0,1,1,0,0,0,0,840,28,0,28,28,0,0,0,0,30,0,30,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,27,44,0.553948028933423,1,1,0,0,1,0,0,0,1188,27,27,0,0,27,0,0,0,44,44,0,0,44,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,23,36,0.55303834568325,0,0,0,1,0,0,0,0,828,0,0,0,23,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,31,0.553860212417178,1,1,0,0,0,1,0,0,899,29,29,0,0,0,29,0,0,31,31,0,0,0,31,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,23,46,0.553453742390336,1,1,0,0,0,0,0,1,1058,23,23,0,0,0,0,0,23,46,46,0,0,0,0,0,46,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,23,37,0.553211675517601,0,1,1,0,0,0,1,0,851,0,23,23,0,0,0,23,0,0,37,37,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,22,40,0.553379832433579,0,1,1,0,0,1,0,0,880,0,22,22,0,0,22,0,0,0,40,40,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,24,31,0.552780797811039,0,0,0,0,1,0,0,0,744,0,0,0,0,24,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,44,0.552525674666451,0,1,0,0,0,0,0,1,924,0,21,0,0,0,0,0,21,0,44,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,26,50,0.554500316152532,1,1,1,1,0,0,0,0,1300,26,26,26,26,0,0,0,0,50,50,50,50,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,20,43,0.553878349374797,1,0,0,0,0,0,1,0,860,20,0,0,0,0,0,20,0,43,0,0,0,0,0,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,23,45,0.553399828181923,0,0,1,1,0,0,0,0,1035,0,0,23,23,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,25,49,0.376051668536959,1,1,1,0,0,0,0,0,1225,25,25,25,0,0,0,0,0,49,49,49,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,28,33,0.552806831656801,0,1,0,0,0,1,0,0,924,0,28,0,0,0,28,0,0,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,24,40,0.553376374008464,0,1,1,0,0,1,0,0,960,0,24,24,0,0,24,0,0,0,40,40,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,28,30,0.553020259208136,0,1,1,0,1,0,0,0,840,0,28,28,0,28,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,30,47,0.553952782931805,1,0,1,0,0,1,0,0,1410,30,0,30,0,0,30,0,0,47,0,47,0,0,47,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,30,45,0.553926342393555,1,1,1,0,0,0,1,0,1350,30,30,30,0,0,0,30,0,45,45,45,0,0,0,45,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,29,47,0.553805893632122,1,1,0,0,0,0,1,0,1363,29,29,0,0,0,0,29,0,47,47,0,0,0,0,47,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,23,45,0.553673154784984,1,0,1,0,0,0,0,1,1035,23,0,23,0,0,0,0,23,45,0,45,0,0,0,0,45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,26,48,0.553577306103887,1,1,1,0,0,0,0,1,1248,26,26,26,0,0,0,0,26,48,48,48,0,0,0,0,48,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
1,20,31,0.553220685471472,0,0,1,0,0,0,1,0,620,0,0,20,0,0,0,20,0,0,0,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,26,47,0.553236503839721,0,1,1,0,1,0,0,0,1222,0,26,26,0,26,0,0,0,0,47,47,0,47,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,27,40,0.554362391973875,1,1,0,1,0,0,0,0,1080,27,27,0,27,0,0,0,0,40,40,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,25,48,0.55420938028366,1,0,1,0,0,1,0,0,1200,25,0,25,0,0,25,0,0,48,0,48,0,0,48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,23,33,0.553668455390568,1,1,1,0,0,0,0,1,759,23,23,23,0,0,0,0,23,33,33,33,0,0,0,0,33,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
1,22,45,0.553481034938759,0,1,1,1,0,0,0,0,990,0,22,22,22,0,0,0,0,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,23,48,0.553388152652928,0,1,1,1,0,0,0,0,1104,0,23,23,23,0,0,0,0,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,30,37,0.373904570152018,0,1,1,0,0,0,0,0,1110,0,30,30,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,22,35,0.553399989979759,0,1,1,1,0,0,0,0,770,0,22,22,22,0,0,0,0,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,27,35,0.552901327020779,0,0,0,0,0,1,0,0,945,0,0,0,0,0,27,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,43,0.553366849193384,0,0,1,1,0,0,0,0,1161,0,0,27,27,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,24,48,0.553388152653523,0,0,1,1,0,0,0,0,1152,0,0,24,24,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,24,46,0.376168631656116,1,0,1,0,0,0,0,0,1104,24,0,24,0,0,0,0,0,46,0,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,31,0.376076841232714,1,0,1,0,0,0,0,0,620,20,0,20,0,0,0,0,0,31,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,44,0.553003048461183,0,1,1,0,0,0,0,1,1100,0,25,25,0,0,0,0,25,0,44,44,0,0,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
